0,300000,«Наёмники блокчейна» — как ими становятся?,"['Dash', 'блокчейн', 'криптовалюта', 'управление', '\n                Фриланс\n              ', '\n                Венчурные инвестиции\n              ']",data\habr/post__300000.txt
1,300002,Динамичность должна быть безопасной,"['стартапы', 'программы', 'разработка программного обеспечения', 'стволовая разработка', 'микросервис', 'выключатели характеристик', '\n                Управление проектами\n              ', '\n                Управление продуктом\n              ']",data\habr/post__300002.txt
2,300004,Издательства выступают против блокировщика рекламы в браузере Brave от бывшего CEO Mozilla,"['mozilla', 'Brave', 'блокировщики рекламы', 'судебное разбирательство', '\n                Законодательство в IT\n              ']",data\habr/post__300004.txt
3,300006,"Выход из зоны комфорта, как новая бизнес-модель","['бизнес-модель', 'it', 'стартап', 'интернет', '\n                Карьера в IT-индустрии\n              ', '\n                Бизнес-модели\n              ']",data\habr/post__300006.txt
4,300008,«Уберизация» поможет российскому рынку рекрутинга преодолеть 25-летний застой,"['mail.ru group', 'headhunter', 'российский рынок', 'рекрутинг', 'uber', 'онлайн-сервисы', 'подбор персонала', '\n                Карьера в IT-индустрии\n              ', '\n                Бизнес-модели\n              ']",data\habr/post__300008.txt
5,300010,Какую рекламу могут посчитать недобросовестной,"['юристы для it', 'недобросовестная реклама', 'уфас', 'войны брендов', '\n                Блог компании Зарцын и партнеры\n              ', '\n                Интернет-маркетинг\n              ']",data\habr/post__300010.txt
6,300012,5 способов повысить эффективность ваших email-рассылок,"['email маркетинг', 'mailhandler', 'conversion', 'email-рассылки', '\n                Growth Hacking\n              ', '\n                Интернет-маркетинг\n              ', '\n                Повышение конверсии\n              ', '\n                Контент-маркетинг\n              ']",data\habr/post__300012.txt
7,300014,Приглашение на конференцию РИФ+КИБ 2016,"['Форум', 'РИФ+КИБ', 'мероприятия', 'конференции', 'Москва', 'выставка', 'технологии', 'дроны', 'развлекательная программа', 'финансы', 'IT', 'PayOnline', '\n                Блог компании PayOnline\n              ', '\n                Конференции\n              ']",data\habr/post__300014.txt
8,300016,5 простых способов сформировать умение понимать эмоции других людей,"['эмоциональный отклик', 'эмоции', 'эмоциональность', 'самоосознанность', 'работа над собой', 'саморазвитие', 'самосовершенствование', 'жизненный курс', 'психология', 'жизненный опыт', 'расстановка приоритетов', 'трудности', 'мудрость', 'мудрые советы', 'советы и рекомендации', 'эмоциональный интеллект', '\n                Блог компании TESTutor\n              ', '\n                GTD\n              ']",data\habr/post__300016.txt
9,300020,Президент НП «Руссофт» обвиняет экспертный совет в необъективности при включении софта в реестр российского ПО,"['импортозамещение', 'софт', 'программное обеспечение', 'закон о преференциях', 'реестр программного обеспечения', 'обвинения', '\n                Законодательство в IT\n              ']",data\habr/post__300020.txt
10,300022,К системе материальной мотивации: грех производных показателей,"['управление персоналом', 'мотивация', 'мотивация сотрудников', 'кпэ', '\n                Блог компании Ultima\n              ', '\n                Управление персоналом\n              ', '\n                Бизнес-модели\n              ']",data\habr/post__300022.txt
11,300024,"Интересные события, произошедшие в выходные","['безопасная динамичность', 'brave', 'блокировка рекламы', 'vr', 'oculus', 'термоядерный реактор', 'грибковые инфекции', 'эвм', 'space-x', '\n                Управление медиа\n              ']",data\habr/post__300024.txt
12,300026,Россия стала абсолютным лидером рынка киберспорта в Европе,"['киберспорт', 'гэмблинг', 'стадион', 'российский рынок', 'европа', 'лидер', 'россия', 'исследования и прогнозы в it', '\n                Бизнес-модели\n              ']",data\habr/post__300026.txt
13,300028,3 свежих рейтинга агентств от Ruward и ситуация по сегментам,"['рейтинг агентств', 'ruward', '\n                Блог компании RUWARD\n              ', '\n                Веб-аналитика\n              ', '\n                Интернет-маркетинг\n              ', '\n                Контекстная реклама\n              ']",data\habr/post__300028.txt
14,300030,Кто умнее – мужчины или женщины? Разбираемся на основе данных патентной статистики,"['изобретение', 'патенты', 'патентование', 'гениальность', 'гении', 'законодательство и ит', '\n                Блог компании ФрешДок\n              ', '\n                Управление проектами\n              ', '\n                Законодательство в IT\n              ', '\n                Патентование\n              ', '\n                Бизнес-модели\n              ']",data\habr/post__300030.txt
15,300032,"Распространенные ловушки, встречающиеся при решении проблем","['проблемы', 'решение проблем', 'проблемы управления', 'управление временем', 'решение задач', 'ловушка', 'самоосознанность', 'саморазвитие', 'работа над собой', 'личная продуктивность', 'личная эффективность', 'мудрость', 'полезные советы', 'примеры', 'логические задачи', '\n                Блог компании MBA Consult\n              ', '\n                GTD\n              ']",data\habr/post__300032.txt
16,300036,Цепочки добавленной стоимости в SAFe,"['SAF', 'HPE', '\n                Блог компании Hewlett Packard Enterprise\n              ', '\n                Управление продуктом\n              ']",data\habr/post__300036.txt
17,300038,Смартфоны наступают,"['byyd', 'mobile', 'mobile first', 'мобильный маркетинг', 'потребительское поведение', 'статистика', 'тренды', '\n                Блог компании BYYD\n              ', '\n                Исследования и прогнозы в IT\n              ']",data\habr/post__300038.txt
18,300040,Афроамериканцы остаются основной аудиторией Tidal,"['tidal', 'jay-z', 'канье уэст', 'стриминговые сервисы', '\n                Монетизация веб-сервисов\n              ']",data\habr/post__300040.txt
19,300042,Тренд или совпадение: российские инвесторы «клонируют» свои фонды и наращивают капитал,"['сбербанк', 'mail.ru group', 'runa capital', 'венчурные фонды', 'инвестиции', 'технологические стартапы', 'buran venture capital', '\n                Венчурные инвестиции\n              ']",data\habr/post__300042.txt
20,300044,Goldman Sachs инвестировал $30 млн в разработчика «когнитивного контента» Persado,"['Persado', 'Goldman Sachs', 'инвестиции', 'нейронные сети', '\n                Финансы в IT\n              ']",data\habr/post__300044.txt
21,300046,"Чем отличаются фриланс, удаленная работа, подряд, аутсорсинг, аутстаффинг и субконтрактация","['2polyglot', 'polyglot', 'startup', 'freelance', 'полиглот', 'работа над собой', 'работа на дому', 'работа вне офиса', 'профессии', 'вид деятельности', '\n                Блог компании SVAM-Systems\n              ', '\n                Управление проектами\n              ', '\n                Фриланс\n              ', '\n                Управление персоналом\n              ', '\n                Карьера в IT-индустрии\n              ']",data\habr/post__300046.txt
22,300048,Didi Kuaidi и Lyft «обменяются» пользователями и выпустят мобильные приложения для туристов,"['Uber', 'Lyft', 'мобильные приложения', 'сервисы такси', 'такси-сервис', 'конкуренция', 'китай', 'didi', 'соглашение', 'запуск проекта', '\n                Монетизация веб-сервисов\n              ']",data\habr/post__300048.txt
23,300050,Впервые в истории российского венчура: фонд «Росинфокоминвест» застраховал руководство от ошибок,"['венчурные инвестиции', 'венчурные фонды', 'российский рынок', 'госкомпании', 'минкомсвязи', 'страхование', 'публичные компании', '\n                Венчурные инвестиции\n              ']",data\habr/post__300050.txt
24,300052,"Методика его, деньги мои","['методика', 'интеллектуальная собственность', 'патентование', 'патент', '\n                Патентование\n              ']",data\habr/post__300052.txt
25,300054,Мы добавили PayPal для оплаты услуг на «Моём круге»,"['мой круг', 'мойкруг', 'moikrug', 'moikrug.ru', 'paypal', 'новости моего круга', '\n                Блог компании Хабр Карьера\n              ']",data\habr/post__300054.txt
26,300056,Правда о путешественниках,"['путешествия', 'путешествовать', 'путь', 'дорога', 'стиль жизни', 'жизнь в радость', 'жизненное', 'образ жизни', 'мысли', 'мысли вслух', 'странствия', 'истина', 'приключения', 'советы', 'впечатления', '\n                Блог компании MBA Consult\n              ', '\n                GTD\n              ']",data\habr/post__300056.txt
27,300058,Бухгалтерия интернет-магазина: инструкция для начинающих,"['бухгалтерия', 'интернет-магазин', 'электронная коммерция', '\n                Блог компании Ecwid\n              ', '\n                Финансы в IT\n              ']",data\habr/post__300058.txt
28,300060,Российский онлайн-кинотеатр впервые выходит на международный рынок с русскими фильмами,"['онлайн-кинотеатры', 'российский рынок', 'интернет-сервис', 'министерство культуры', 'выход на новые рынки', 'megogo', 'tvzavr', '\n                Монетизация веб-сервисов\n              ']",data\habr/post__300060.txt
29,300062,Полномочия менеджера проекта,"['управление проектами', '\n                Управление проектами\n              ']",data\habr/post__300062.txt
30,300064,"9 важнейших правил, о которых нужно помнить при продаже стартапа","['gotech', 'кого хотят корпорации', 'продажа стартапа', 'стартап', '\n                Блог компании GoTech.vc\n              ', '\n                Управление проектами\n              ', '\n                Карьера в IT-индустрии\n              ']",data\habr/post__300064.txt
31,300066,Интернет вещей для бизнес-объектов (часть 2),"['IoT', 'Интернет вещей', 'сеть объектов', 'развитие Интернета', 'информационные коммуникации', '\n                Исследования и прогнозы в IT\n              ', '\n                Учебный процесс в IT\n              ']",data\habr/post__300066.txt
32,300068,О чем хотят знать мировые маркетологи?,"['byyd', 'marketing', 'мобильный маркетинг', 'потребительское поведение', 'тренды', '\n                Блог компании BYYD\n              ', '\n                Интернет-маркетинг\n              ']",data\habr/post__300068.txt
33,300070,Uber и Airbnb уходят в офшоры еще до получения первой прибыли,"['uber', 'airbnb', 'налогообложение', 'налоги', '\n                Финансы в IT\n              ']",data\habr/post__300070.txt
34,300072,Apple обошла ASUS и заняла четвёртое место на рынке ПК,"['asus', 'компьютеры', 'apple', 'lenovo', 'idc', 'аналитика продаж', '\n                Исследования и прогнозы в IT\n              ']",data\habr/post__300072.txt
35,300074,Российские таксисты жалуются на Яндекс и Uber Дмитрию Медведеву,"['такси', 'Яндекс', 'Uber', 'Gett', '\n                Законодательство в IT\n              ', '\n                Бизнес-модели\n              ']",data\habr/post__300074.txt
36,300076,Визуализация цели: эффективный метод или самообман,"['смартпрогресс', 'визуализация цели', 'целеполагание', 'фриланс', 'достичь цели', '\n                Блог компании SmartProgress\n              ', '\n                Управление проектами\n              ', '\n                GTD\n              ', '\n                Фриланс\n              ']",data\habr/post__300076.txt
